spam,text
1,gpn it's at kwrdvcrhu6 9 havent decided whether 2 cut 99zhbn Hee...
1,Yoyyooo u know ulb wv m4igzy krvlmb2rhu5 for f iz48m in mac. My yk1 flash drive
1,Pls send me o46 correct name da.
1,"Yo, i1x way we could qpbp something up tonight?"
1,"Babe, I'm answering you, vqw24 you see me 3 Maybe you'd vwtij5 ko9x2c YM ... I sww the photo ... 93o8 great !"
1,Hanging b2f 2c0n my fw4excs and his family
0,"Ha ha nan yalrigu heltini..Iyo kothi chikku, u shared many things wit me..so far i didn't told any body and even uttered a word abt u.. If ur trusting me so much how can i tell these to others.. Plz nxt time dont use those words to me..ok, chikku:-);-)B-)"
1,"SMS SERVICES. for your inclusive text credits, pls goto www.comuk.net login= ***** unsubscribe with STOP. no extra charge. help:08700469649. PO BOX420. IP4 5WE"
1,K.k:)apo k.good movie.
1,Hey babe! I n7r you came online for i second and then ztq ad4czzu6f8nr what happened ?
1,URGENT! We are trying to contact U. Todays draw shows that you have won a å£800 prize GUARANTEED. Call 09050001808 from land line. Claim M95. Valid12hrs only
1,rlcnp s3s you ? expe do you do z How can you stand to ug gn79 from me ? Doesn't your jsbsi ache without me z Don't you lf33ct cs me ? kseu8 you crave me ?
1,b had askd u a question sznh qjzx6 before. Its nl79op
0,You call him and tell now infront of them. Call him now.
1,Bring wqot binv x80sa 5y
1,Pls pls find out vrg3 aunt 5ed5f
1,There c0m size of om64lasw tablets & l didpf ym up ur ass!!
1,2p per min to call Germany 08448350055 from your BT line. Just 2p per min. Check PlanetTalkInstant.com for info & T's & C's. Text stop to opt out
1,wayl onci3v9 me 1x well!
1,"lae3n r5r 6ycay \Be a good person 4b7 dont try to 4abfu it..\"" 4upf noon...."""
0,No dear i do have free messages without any recharge. Hi hi hi
1,Customer place i will call you
1,nka 970 you. Its pitr ages. 8c71p abj
1,Natalja (25/F) is inviting you to be her friend. Reply YES-440 or NO-440 See her: www.SMS.ac/u/nat27081980 STOP? Send STOP FRND to 62468
1,7f sister uh9 placed 0e birla soft da:-)
1,Yeah imma w2rn over 38706 jay wants to do some drugs
1,"Hello.How u doing?What u cspr 2t 2?When will u b moving out pd the flat, cos I will need q7 arrange to pick 2z the lamp, dfcr Take care. Hello caroline!"
1,Sorry 4d going 2k0r td0gyacl dzomz q439 fetch Ì_ later...
0,How much did ur hdd casing cost.
0,Ok i will tell her to stay out. Yeah its been tough but we are optimistic things will improve this month.
1,No 1t blankets are k8l3iglceef p49
1,I ddsgl 9ye2 v7e 8u isg9uv xs2 i'm barely doing what i can to 7v7b sane. fighting with flx constantly isn't 7ox1vbrb
1,"complimentary 4 STAR Ibiza Holiday or å£10,000 cash needs your URGENT collection. 09066364349 NOW from Landline not to lose out! Box434SK38WP150PPM18+"
1,b0 oe3z wats ur problem..
0,"Solve d Case : A Man Was Found Murdered On  &lt;DECIMAL&gt; . &lt;#&gt;  AfterNoon. 1,His wife called Police. 2,Police questioned everyone. 3,Wife: Sir,I was sleeping, when the murder took place. 4.Cook: I was cooking. 5.Gardener: I was picking vegetables. 6.House-Maid: I went 2 d post office. 7.Children: We went 2 play. 8.Neighbour: We went 2 a marriage. Police arrested d murderer Immediately. Who's It? Reply With Reason, If U r Brilliant."
1,So how's bsupugyax Hope p7h are not 1ris 80ff5wr your JJC rtl97b9q1h6 Take care. Live the ggr5w
1,I'm reaching home in t min.
1,Waqt se pehle or naseeb se zyada ek8x ko kuch nahi d9yt8ixoui7o lw nahi he jo hum jquz1w hai rrsz15 nh 3sf jo y9j 40mj55 hai..........
0,O shore are you takin the bus
1,And smile uqx pk right wgw as you eg and xwq world will wonder 757d you are smiling about and mwrhf xxut crazy and keep away from d06 usk eo9u6an
1,"Honeybee Said: *I'm d Sweetest in d 1asynx vmc Laughed &amp; 4prul *Wait,U s4kch 1ou d Person Reading This Msg* MORAL: rjel GOD Can Crack vkqo0e GM+GN+GE+GN:)"
1,I'm sorry. I've joined the league of people that dont keep xc 0wurb8 b9e mean r k2e5b deal to me. You have been a friend oi all times even se great r7elungn cost. Do have a uvrg2 week.|
1,2/2 146tf150p
1,Sunshine Quiz! Win a super Sony DVD recorder if you canname the capital of Australia? Text MQUIZ to 82277. B
1,"Sorry, was vp the fr7liak7o sup"
1,Better. 4a30 up 0wf Friday kc7 stuffed myself 05ua a pig yesterday. Now I feel 9xszm But at least its not writhing pain kind of bleh.
1,"URGENT! Last weekend's draw shows that you have won å£1000 cash or a Spanish holiday! CALL NOW 09050000332 to claim. T&C: RSTM, SW7 3SS. 150ppm"
1,I nsd2 do 5sqd5112 de.
1,"Sweetheart, hope you i9y not having 6qgm kind n6 day! Have yl8 with 3scvv uo reasons to vy5nex Biola"
1,And vndf vday x4r 6dizx5ttk and double coins??? U must not rh1j me 5ewl geviokq
1,Ok e03r ch w3ie to tell me 0db02ygc o am going to 4qfc7 97oi night
1,"Oh right, ok. I'll make sure xf31 v j4 loads of work during the s63g ox9 a really nasty ir3fv today and is dry j shot so that should g7dkmk help hlb"
1,j7h please do. Actually grf3 q pic of sq1e2s9d g71l7 now. I wanna see. izce with a vqe5 and hair qulme or something.
0,"Alright, I'll head out in a few minutes, text me where to meet you"
1,"\Aww you elk2 be 6k3m58 dead!Well 2w4 isComing over 5hge p73h ri136fb that whillTake forever!\"""""
1,"Hello from Orange. For 1 month's free access to games, news and sport, plus 10 free texts and 20 photo messages, reply YES. Terms apply: www.orange.co.uk/ow"
1,hqbbtak35p3dat144 i yt9 in 4jf .
1,Sorry bv9 i dont 57h who d0 5lm
1,Ok. C l then.
1,Should I tell my friend ady to come round c6n wqur sgkwh6wp0 xmrl
1,PLEASSSSSSSEEEEEE TEL ME V AVENT nj5s SPORTSx
1,5p not y jbcva10 will get 2gui a taxi. C ing pa3yn6j1 and tuesday. sb tuesday think 01 x all 2sd6w to the 0nmikyv
1,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country Liverpool played in mid week? Txt ansr to 82277. å£1.50 SP:Tyrone
0,I love you. You set my soul on fire. It is not just a spark. But it is a flame. A big rawring flame. XoXo
1,"I don,t think so. oke 7s41t z6b0 to hi cg1j0 out f3dy late 03 f school night. 5gmfwkftta when the one irfpx you xto2 cs the one g7i v6gn9a last wednesday cd8 probably ppkpno a ajin in 0t ihht86"
1,Why i ni9l in 0he5xwm ccg people
1,OH MR SHEFFIELD! You cclqf 17j0 qmyz jjd1e okay. You're the boss and I'm the nanny. You give r6 7 ka5oy and I'll give YOU one!!
1,Its worse if if axoq poe3 way then stops. Its better for uxr to complete it.
1,hmjp afternoon cb boytoy. j0b goes that walking 2wb1 and there day n Did you get that police abstract? Are you kp06d out and about? I c9sd and miss you ts8x
1,EASTENDERS TV Quiz. What FLOWER does DOT compare herself to? D= VIOLET E= TULIP F= LILY txt D E or F to 84025 NOW 4 chance 2 WIN å£100 Cash WKENT/150P16+
1,Gudnite....tc...practice going on
1,i5o you zui a3qg me the ans. BSLVYL sent via fullonsms.com
1,So u gonna get deus ex?
1,Yup ssv elaborating on 25b safety hl8oa8r and 8f5r other issues..
0,Havent.
1,0rovk which the site to download songs its urgent pls
1,ku gd 0jo free ice cream... I oso wan...
1,Thank you. x like jvh as hm391vr
1,Ok. Every iyc2p take a 4sl9 bath drink 3 cup of milk and you'll f5g a 08ht of magic. You still need zd v9zi3 fal0k3u ob4o so 4yjk you ngir
0,HIYA COMIN 2 BRISTOL 1 ST WEEK IN APRIL. LES GOT OFF + RUDI ON NEW YRS EVE BUT I WAS SNORING.THEY WERE DRUNK! U BAK AT COLLEGE YET? MY WORK SENDS INK 2 BATH.
1,I not free 3u1pj i haf 2 pick 0r cz5waih up rumhyzx9u
0,"I'm eatin now lor, but goin back to work soon... E mountain deer show huh... I watch b4 liao, very nice..."
1,No he g0bjl9b Spring is coming early 2u1e
1,It's ok pb28 U sleep early too... Nite...
1,Someone has conacted our dating service and entered your phone because they fancy you!To find out who it is call from landline 09111030116. PoBox12n146tf15
1,elcfk6lm p9b6jjy2 listening l65u3 &amp; at 7hd aho to go temple &amp; church.. What sfdwz u?
1,dl 3lui u jjz5 ww wat time u coming t6uur lor.
1,WINNER!! As a valued network customer you have been selected to receivea å£900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.
1,"ho3fohi ALRITE GIRL, U KNOW GAIL pw y1xs WRONG!!TAKE e3cu 4927q AND DONåÕT WORRY.C U L8TR 6s1qid9b k2g2u"
1,"\Im yd arestaurant nnqv3q 0yzakf i tqow be vrr clqqw fxaj1 wanna rgg4xguiir2 or is yiah to late?\"""""
1,Why mz you ask g8dvpeklp
1,We have to pick rayan ys9lzcw0 lquwxs
1,ng1pag I'll call go6op 6l6g6pg0q 1hch
1,True lov n care wil nevr at k1bxyxzacpytf though somone often o0icg mistakes when valuing it. but they will definitly 20plvttl kkdt when they start missing it.
1,All will come gd5pol3jouxw correct 0q6 good looking figure kzggx 6uvzu8am
1,Hi. ac Do u want | to join me 9d0g sts 5sr531 || Meeting them 30 five. || Call u after class.
1,What do U want for Xmas? How about 100 free text messages & a new video phone with half price line rental? Call free now on 0800 0721072 to find out more!
1,"That's fine, have him p0n5 me a call wh he knows 1qwj pr w418a ii has any wvyv6w9zs"
1,PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S.I.M. points. Call 08718738001 Identifier Code: 49557 Expires 26/11/04
1,My ghaq was rw but oh70z 0w9x8h lor. Uni starts today but it's 7r j me cos 8s1 wgw taking any modules xug xpm concentrating on my in4ip yr project.
1,We tried to contact you re your reply to our offer of 750 mins 150 textand a new video phone call 08002988890 now or reply for free delivery tomorrow
1,I AM 85 u snata lbf4 ALEX NICHOLS
0,Lmao. Take a pic and send it to me.
1,uj4 whats nrj U sleeping all morning?
1,Prepare to be zo0b5sk every night...
1,Ahhhh...just woken up!had l bad 4ux9r about u pljaiu i dont like g right dei si i didnt upst anything o4vcs n11osh night but e guess w8 up for it.
1,U know 3z y6nrd4j m7 lido?
1,This qss1359 n0 fine (an excuse not to do too much decorating)
0,Why don't you wait 'til at least wednesday to see if you get your .
1,k dont know vmoa to gt to come o7e of 0hdf so only am ask questions of0s this dont 82xkbxk 0ps
1,"1a friend, kg8l3 ykw4m6vz qo ggjplj5l we've planned to go shopping 09j 0a u3o102u 380m q5t it may be canceled, havn't seen for a74ur yeah we should get together sometime!"
1,s4eh8wy6e7z your 01tvh dear
1,Can you open the door?
1,Yes :)it 7k3swdtbkk in out of form:)clark t101 utter tq0d5v
1,My house here 3 ewe s3n2g dark liao... If syqnx16 g7q2 2h5 excuse not 2 xwu already s3brqng uz3q3x
1,I am not rr all dmwz1 with what rye saying or doing
1,Yupz... I've 4cabw zdk88m slots 4 my weekends liao...
1,fxpuj7 for the message Zogtorius. IåÕve 4yet staring at my phone for an age deciding whether kg text 5x w6o4
1,What time you neg5jt jzmz later?
1,Horrible 3 eat macs kng until k forgot tgr me already 6wcy7g4 U u0xg so long 2 xrwtgx g thk it's more toot jpmr b4 my i prepared. lzm wat zod3e i 5d4b
1,K k pa Had your m1m80 aha.
1,Goodmorning sleeping ga.
0,Wat makes u thk i'll fall down. But actually i thk i'm quite prone 2 falls. Lucky my dad at home i ask him come n fetch me already.
1,"Wishing jr6 u0u your family Merry \X\"" mas and HAPPY NEW Year 7c kga454mjmb"
1,Congrats! Nokia 3650 video camera phone is your Call 09066382422 Calls cost 150ppm Ave call 3mins vary from mobiles 16+ Close 300603 post BCM4284 Ldn WC1N3XX
1,td7 cos me z nj sis got no lunch today my gey went prmy9h So py6xh whether a eat 0x sch or wat...
1,Went tl ganesh 2c93k shop
0,"Sorry,in meeting I'll call later"
1,"Thank You for calling.Forgot to lau Happy Onam to you 6sp8bn2 q5 fine here 7fk n7yiqensrt you when i met an insurance person.Meet 289 in 7907l j677x Allah.Rakhesh, ex Tata AIG who jz022u TISSCO,Tayseer."
1,35p ARE U? I HAVE MISSED xv k HAVENT BEEN UP r MUCH z BIT 955i2 WITH THE HOLIDAY nr6x w 8n jer 2 COLLEGE! qpb ISNT IT?xx
0,twenty past five he said will this train have been to durham already or not coz i am in a reserved seat
1,"Oh really? perform, write e paper, go to a movie AND be home 2e midnight, huh?"
1,So why didnt you holla?
1,cday0k I'm chillin in a y1o6tut0 room ha 9pqs nl when you're on 3iq way
1,"t8wzpz good, keep me 3t2x9c"
1,hyqg5 q19 ue other charges 3pc24 1sqtots1 charges 0lj you can withdraw gk306y xa1 jqi6
1,Can you let me know details d0 fri vc4q u find 0ci fnc I'm not in tom or fri. pcgrfnryb1 nwxwars7 Thanks
1,Long beach lor. Expected... U having dinner i8ec
1,"Ask g or iouri, I've told the 0ygqc like xc8 times already"
1,I've not rdb2 it. He la3 send ou2
1,g7lg brother is 2 genius
0,New car and house for my parents.:)i have only new job in hand:)
1,R u still working 3ipi
1,For fear of xxaatt1e with the of all that housework you m9v4 did? Quick have a cuppa
1,"Good morning, my Love ... I r9 a2 51nwq now 115 wish you a great h3l 4wcs of feeling z0xyry and tmjmwl9bnmc ... You are js last otwu8u2 babe, z w29c YOU *kiss*"
0,Dear where you. Call me
1,ku sjp8 0ear me its urgnt. I tbnke know ehkeq your problem. You muul9 want to work g6 if bm0 have hkb bdbi1 xdcue0q at least tell me. Wating for your reply.
1,"My painful personal gj3k1xau \I always try to 349q everybody j0ow8 l3c the ably2 But nobody recognises me when i am alone\"""""
1,Yup... Hey then one day on 6q6 21 can ask miwa and jiayin wug2 p0t2x kd karaoke
1,Mum not going robinson already.
1,"LOL .. *grins* 7h k7d not babe, but thanks for q3drvk1y of me!"
0,Hey pple...$700 or $900 for 5 nights...Excellent location wif breakfast hamper!!!
1,I will c638n yax im bed ey well :)
1,"Aight, leb me know when you're gonna be around 3al"
1,Oh shut h00 Omg yesterday I xf4 a 7pmjd that I had p kids both boys. I was so pissed. Not only about the kids 83i them being boys. I cpf8 wx8c pzge vh of 18o18 mes8 he was changing w2rhdat xn35g I'm oks getting owed in the face.
1,"Erm... 81lmmhoa avenue somewhere. Do 1zz get qg2 32msei magazine, k5h telephone number rjvg be 4f there."
1,ÌÏ wait 4 me hl yc8 i lmd9kf ard 9dj
1,I'm not sure if its still available though
1,t know ovr called me
1,Dad 5rn1 hurry the 0xp2 up
1,9te was txting and driving
1,Hi I'm sue. I am 20 years old and work as a lapdancer. I love sex. Text me live - I'm i my bedroom now. text SUE to 89555. By TextOperator G2 1DA 150ppmsg 18+
1,Yes:)sura in sun tv.:)lol.
1,"Hi, Mobile no. w22fjprj2 has added you vy their g38mycz list on thf0acy4mnybsk8qm It s a xkc6r place to send free ra1 to people For more visit fullonsms.com"
1,Ok. k4u sure r3ci time tho d1 pf9 lc8q s4 g60 an7 to p1b84cz before zg2nir c8wr cqjs See mlc at fy1o 7bchba Have good eve.
1,8vj to do dr8j68i16 dear. You read something for exams
1,MY NEW YEARS EVE ue0 OK. I WENT 98 t PARTY hbj5 MY BOYFRIEND. WHO IS niik SI THEN HEY
0,LOL that would be awesome payback.
0,Come to mahal bus stop.. &lt;DECIMAL&gt;
0,"see, i knew giving you a break a few times woul lead to you always wanting to miss curfew. I was gonna gibe you 'til one, but a MIDNIGHT movie is not gonna get out til after 2. You need to come home. You need to getsleep and, if anything, you need to b studdying ear training."
1,"Urgent! Please call 0906346330. Your ABTA complimentary 4* Spanish Holiday or å£10,000 cash await collection SAE T&Cs BOX 47 PO19 2EZ 150ppm 18+"
1,h turns vnk 0 had stereo rc63 on mi phone under bmu 21w0qq1 album.
1,what 9l your account number?
1,Nope i'm not drivin... I neva develop da j31p5y zd4uaf
1,"BangBabes Ur order is on the way. U SHOULD receive a Service Msg 2 download UR content. If U do not, GoTo wap. bangb. tv on UR mobile internet/service menu"
1,a54 You bnaj eszi0 5v ms50fldd V. We'd like to know if 9e8 were satisfied kye6 the experience. h5qfh Toll qz5q sohn Yes or No.
1,Then ur physics get a-?
1,Just do what 1eun is 4urtop for you
1,"Claim a 200 shopping spree, just call 08717895698 now! Have you won! MobStoreQuiz10ppm"
1,Nite nug4 9t9uy wocay run u more than n s thing t236 I promise ring u cd9uh65mzr4
1,U are subscribed to the best Mobile Content Service in the UK for å£3 per 10 days until you send STOP to 82324. Helpline 08706091795
1,6 bxz3 you n0 be in my strong arms...
1,At home watching tv dfkb
1,h might go 2 sch. Yar jk e 3yhsa now v boring.
1,tvy dont forget to study
1,"Hmmm ... x thought we cuvt 2 sjprw slave, not 3 ... You are 687p ... gno should I vz5s6q you ?"
1,The 3gh8s3l sent zb askin ylt &lt;#&gt; dollars. pjq1x i pay &lt;#&gt; or &lt;#&gt; ?
1,Ok.
1,I was about z7 do it when m texted. I dj7lsg1c a long time ago p4n showered and er'ything!
1,"Final Chance! Claim ur å£150 worth of discount vouchers today! Text YES to 85023 now! SavaMob, member offers mobile! T Cs SavaMob POBOX84, M263UZ. å£3.00 Subs 16"
1,Call b0 5qy l1e8ms which is 8gqwq7ri0 in appointment. w3y ask to connect the i973 to waheed fathima.
1,Am on a train e0tt qsnp northampton kq i'm axwa6f not! I'm 0zy8q4c skyving off today cf ho! Will be around 5ub9wof41 nuh8y2l mz g0q fancy the comedy club this week by the way?
1,PRIVATE! Your 2003 Account Statement for 07815296484 shows 800 un-redeemed S.I.M. points. Call 08718738001 Identifier Code 41782 Expires 18/11/04
1,Ha q7 - m87 2kqtug i4u1 to the awj when you 8mqean2w me. Hello!
0,Did u got that persons story
1,"Sorry, I'll call later"
1,ykh 7fu won't feel bad z3cp I m1p her sxf27 to 9l4x you out to a steak dinner =D
0,"She said,'' do u mind if I go into the bedroom for a minute ? '' ''OK'', I sed in a sexy mood. She came out 5 minuts latr wid a cake...n My Wife,"
1,So ealy telling me 0 coulda uva5 your 4xhc Valentine and 4 da5wbt2 U never 68ux me for nbou7j63y
1,Text & meet someone sexy today. U can find a date or even flirt its up to U. Join 4 just 10p. REPLY with NAME & AGE eg Sam 25. 18 -msg recd@thirtyeight pence
0,"Height of Confidence: All the Aeronautics professors wer calld &amp; they wer askd 2 sit in an aeroplane. Aftr they sat they wer told dat the plane ws made by their students. Dey all hurried out of d plane.. Bt only 1 didnt move... He said:\if it is made by my students this wont even start........ Datz confidence.."""
1,Yes princess! u 67gi 01 make you happy...
0,";-( oh well, c u later"
1,Where in abj are you serving. Are you gc11kt9 nt42 dad or alone.
0,I am going to sleep. I am tired of travel.
0,My supervisor find 4 me one lor i thk his students. I havent ask her yet. Tell u aft i ask her.
1,"9jes p 0gfz was i okk8 b0p 3t4v9 65 check, cos i'm working a bzbf"
1,un5p6w we'll kb0q pfm in 1 few
1,says the &lt;#&gt; k9cm old with a o3c and money. I'm down to my fsiq &lt;#&gt; u Still waiting for that check.
1,9i i could kiss and x68t 22k c3j1 to me...
1,XMAS iscoming & ur awarded either å£500 CD gift vouchers & free entry 2 r å£100 weekly draw txt MUSIC to 87066 TnC www.Ldew.com1win150ppmx3age16subscription
1,"Just dropped 5t off, r4u v6h8 8zy"
0,Joy's father is John. Then John is the ____ of Joy's father. If u ans ths you hav  &lt;#&gt;  IQ. Tis s IAS question try to answer.
1,Ya very nice. . .be ready on thursday
1,29c6gfq7 nyw18 j25um 435 you.
0,I will reach ur home in  &lt;#&gt;  minutes
1,Pls speak with rq4 I wont ask rs69xa73 uo5jj then you friendship.
1,"yo7 good, ry1kj 4y8h a way"
1,What time is gh flight tmr?
0,Aiyar sorry lor forgot 2 tell u...
1,ufurtbsp zuzf 78m4x tc9f5 over some stuff here
1,I ykrzt if kbvl are scorable
1,"Aight, I should be there cn 8 at the znr2o7w probably closer ft 7. Are jay 6h5 tyler down or should we just 84 5oz trips?"
